month,precipitation,temp_max,temp_min,wind,weather_encoded
1,0.0,12.8,5.0,2.16794833886788,0
1,3.3015148038438356,10.6,2.8,2.1213203435596424,2
1,0.8944271909999159,11.7,7.2,1.51657508881031,2
1,4.505552130427524,12.2,5.6,2.16794833886788,2
1,1.140175425099138,8.9,2.8,2.4698178070456938,2
1,1.5811388300841898,4.4,2.2,1.4832396974191326,2
1,0.0,7.2,2.8,1.51657508881031,2
1,0.0,10.0,2.8,1.4142135623730951,4
1,2.073644135332772,9.4,5.0,1.8439088914585775,2
1,1.0,6.1,0.6,1.8439088914585775,2
1,0.0,6.1,-1.1,2.258317958127243,4
1,0.0,6.1,-1.7,1.378404875209022,4
1,0.0,5.0,-2.8,1.140175425099138,4
1,2.0248456731316584,4.4,0.6,2.3021728866442674,3
1,2.3021728866442674,1.1,-3.3,1.7888543819998317,3
1,1.5811388300841898,1.7,-2.8,2.23606797749979,3
1,2.8460498941515415,3.3,0.0,2.3664319132398464,3
1,4.449719092257398,0.0,-2.8,2.23606797749979,3
1,3.8987177379235853,-1.1,-2.8,1.2649110640673518,3
1,3.6742346141747673,7.2,-1.1,1.51657508881031,3
1,1.7320508075688772,8.3,3.3,2.8635642126552705,2
1,2.4698178070456938,6.7,2.2,2.1908902300206643,2
1,0.0,8.3,1.1,1.8973665961010275,2
1,2.932575659723036,10.0,2.2,2.258317958127243,2
1,2.8460498941515415,8.9,4.4,2.32379000772445,2
1,2.1908902300206643,8.9,1.1,2.1908902300206643,2
1,0.0,6.7,-2.2,1.1832159566199232,0
1,0.0,6.7,0.6,1.4832396974191326,2
1,5.263078946776307,9.4,3.9,2.1213203435596424,2
1,1.8973665961010275,8.3,6.1,2.258317958127243,2
1,1.3416407864998738,9.4,6.1,1.9748417658131499,2
2,3.6742346141747673,8.9,3.3,1.6431676725154984,2
2,0.0,8.3,1.7,1.61245154965971,4
2,0.0,14.4,2.2,2.3021728866442674,4
2,0.0,15.6,5.0,2.073644135332772,4
2,0.0,13.9,1.7,1.70293863659264,4
2,0.0,16.1,1.7,2.23606797749979,4
2,0.5477225575051661,15.6,7.8,2.3021728866442674,2
2,1.6733200530681511,10.0,5.0,1.6431676725154984,2
2,1.5811388300841898,11.1,7.8,1.5491933384829668,2
2,1.5811388300841898,12.8,6.7,1.7320508075688772,2
2,0.8944271909999159,8.9,5.6,1.8439088914585775,2
2,1.0,8.3,5.0,1.140175425099138,2
2,3.3763886032268267,7.2,4.4,1.1832159566199232,2
2,1.5811388300841898,6.7,1.1,1.760681686165901,2
2,0.0,7.2,0.6,1.3416407864998738,0
2,1.3416407864998738,7.2,3.3,1.449137674618944,2
2,4.159326868617084,10.0,4.4,1.8439088914585775,2
2,2.5298221281347035,6.7,3.9,2.8460498941515415,2
2,0.0,6.7,2.2,2.16794833886788,4
2,1.7320508075688772,7.8,1.7,1.70293863659264,2
2,0.8944271909999159,10.0,7.8,2.7386127875258306,2
2,2.932575659723036,10.0,2.8,2.4289915602982237,2
2,0.0,8.3,2.8,1.9748417658131499,4
2,3.3763886032268267,6.7,4.4,1.8708286933869707,2
2,0.0,7.2,2.8,2.5298221281347035,2
2,1.140175425099138,5.0,-1.1,1.8439088914585775,3
2,0.0,6.7,-2.2,1.7320508075688772,4
2,1.8973665961010275,6.7,-0.6,2.04939015319192,3
2,0.8944271909999159,5.0,1.1,2.6457513110645907,3
3,0.0,6.1,1.1,1.760681686165901,4
3,1.4142135623730951,6.7,3.9,2.258317958127243,2
3,0.0,12.2,6.7,2.6457513110645907,4
3,0.0,10.6,6.7,2.3664319132398464,2
3,2.6267851073127395,7.8,1.1,2.4899799195977463,2
3,0.7071067811865476,6.7,0.0,1.6431676725154984,3
3,0.0,8.9,-1.7,1.6431676725154984,4
3,0.0,15.6,0.6,1.5811388300841898,4
3,1.8973665961010275,9.4,5.0,1.6733200530681511,2
3,3.22490309931942,7.2,6.1,1.8439088914585775,2
3,3.7013511046643495,6.7,2.8,2.4083189157584592,2
3,4.39317652729776,8.3,0.6,2.4899799195977463,3
3,3.0659419433511785,5.6,0.6,2.3021728866442674,3
3,2.932575659723036,7.8,1.1,2.16794833886788,2
3,4.888762624632126,11.1,5.6,2.4083189157584592,3
3,2.898275349237888,8.9,3.9,2.258317958127243,2
3,3.0659419433511785,10.0,0.6,1.9493588689617927,3
3,1.8973665961010275,5.0,-0.6,1.6431676725154984,2
3,1.4142135623730951,7.2,-1.1,1.7320508075688772,2
3,1.8973665961010275,7.8,2.2,2.5298221281347035,2
3,1.140175425099138,8.9,1.1,1.5811388300841898,2
3,2.0248456731316584,10.0,1.7,1.449137674618944,2
3,0.0,12.2,0.6,1.6733200530681511,4
3,0.0,15.0,3.3,2.280350850198276,4
3,0.0,13.3,2.2,1.6431676725154984,2
3,0.0,12.8,6.1,2.073644135332772,0
3,2.1908902300206643,14.4,6.7,1.9493588689617927,2
3,1.140175425099138,10.6,7.2,2.4289915602982237,2
3,5.2345009313209605,10.0,6.1,2.0976176963403033,2
3,2.3664319132398464,9.4,5.0,2.16794833886788,2
3,3.63318042491699,10.0,2.8,1.8439088914585775,2
4,1.224744871391589,8.9,4.4,2.6076809620810595,2
4,0.0,16.7,4.4,1.760681686165901,4
4,1.224744871391589,11.7,3.3,1.760681686165901,2
4,0.0,10.6,2.8,1.449137674618944,4
4,2.1447610589527217,9.4,2.8,1.3416407864998738,3
4,0.5477225575051661,11.1,3.3,1.61245154965971,2
4,0.0,16.1,1.7,2.073644135332772,4
4,0.0,21.1,7.2,2.0248456731316584,4
4,0.0,20.0,6.1,1.449137674618944,4
4,0.0,17.8,8.9,1.7888543819998317,2
4,1.51657508881031,11.1,7.2,1.61245154965971,2
4,0.7071067811865476,13.9,5.6,1.61245154965971,2
4,0.0,15.0,3.9,2.0,0
4,0.0,15.6,3.3,1.7320508075688772,4
4,0.0,16.1,7.2,1.70293863659264,2
4,2.8460498941515415,13.3,6.7,2.4083189157584592,2
4,1.3416407864998738,10.0,4.4,1.4142135623730951,2
4,1.3416407864998738,13.3,7.2,1.9748417658131499,2
4,3.3015148038438356,13.9,5.0,1.61245154965971,2
4,2.569046515733026,13.3,6.7,1.6431676725154984,2
4,0.0,20.0,4.4,1.51657508881031,4
4,0.0,23.3,8.3,1.61245154965971,2
4,0.0,21.7,8.9,1.8708286933869707,4
4,2.073644135332772,13.9,10.0,1.6733200530681511,2
4,3.271085446759225,16.7,8.9,1.61245154965971,2
4,1.9493588689617927,13.9,6.7,2.280350850198276,2
4,0.8944271909999159,13.3,6.1,2.1908902300206643,2
4,0.0,16.1,8.3,1.5811388300841898,0
4,2.073644135332772,15.6,8.9,1.2649110640673518,2
4,2.073644135332772,12.8,7.2,2.8284271247461903,2
5,0.7071067811865476,11.7,6.1,2.5298221281347035,2
5,0.7071067811865476,13.3,5.6,1.5811388300841898,2
5,4.301162633521313,11.1,7.2,1.8439088914585775,2
5,1.3416407864998738,12.2,6.1,2.1447610589527217,2
5,0.0,13.3,5.0,1.51657508881031,4
5,0.0,17.8,5.0,1.5491933384829668,4
5,0.0,23.9,6.1,1.4832396974191326,4
5,0.0,18.3,9.4,1.7320508075688772,4
5,0.0,13.3,6.7,1.9748417658131499,2
5,0.0,14.4,3.9,1.7320508075688772,4
5,0.0,18.3,4.4,2.073644135332772,4
5,0.0,24.4,6.7,1.8439088914585775,4
5,0.0,25.6,9.4,2.04939015319192,4
5,0.0,26.7,12.8,1.9493588689617927,4
5,0.0,24.4,9.4,2.0248456731316584,0
5,0.0,19.4,9.4,1.8708286933869707,4
5,0.0,17.8,6.7,1.70293863659264,2
5,0.0,15.6,7.8,1.760681686165901,2
5,0.0,19.4,7.2,1.224744871391589,4
5,2.5298221281347035,14.4,11.7,1.140175425099138,2
5,3.7416573867739413,16.7,10.0,2.0,2
5,2.4698178070456938,12.8,8.9,2.1908902300206643,2
5,0.5477225575051661,14.4,8.9,2.5099800796022267,2
5,0.0,17.2,8.9,1.816590212458495,2
5,0.0,22.2,8.9,1.760681686165901,2
5,0.0,22.2,8.9,1.8973665961010275,4
5,0.0,17.2,11.7,1.9235384061671346,4
5,0.0,16.7,10.0,1.8439088914585775,2
5,0.0,16.1,7.8,1.3416407864998738,4
5,0.5477225575051661,18.9,11.1,1.224744871391589,2
5,1.9493588689617927,17.8,12.2,1.6431676725154984,2
6,2.569046515733026,20.0,12.8,1.9235384061671346,2
6,0.5477225575051661,18.9,10.6,1.9235384061671346,2
6,0.0,17.2,9.4,1.70293863659264,4
6,1.140175425099138,12.8,8.9,1.760681686165901,2
6,4.0,13.3,8.3,1.816590212458495,2
6,0.0,16.1,6.1,1.8439088914585775,4
6,4.06201920231798,16.1,8.9,1.8708286933869707,2
6,1.224744871391589,15.0,8.3,1.7320508075688772,2
6,0.0,17.2,8.3,2.16794833886788,2
6,0.0,18.9,10.0,1.70293863659264,4
6,0.0,23.3,10.0,1.3416407864998738,2
6,0.8944271909999159,18.3,12.8,1.9748417658131499,2
6,0.0,16.1,11.1,2.073644135332772,4
6,0.0,17.2,10.0,1.6431676725154984,4
6,0.0,22.2,9.4,1.3038404810405297,4
6,0.0,21.1,15.0,2.0248456731316584,2
6,0.0,18.9,11.7,2.5298221281347035,4
6,1.7320508075688772,17.2,10.0,1.9493588689617927,2
6,1.0,19.4,10.0,1.7320508075688772,2
6,0.0,24.4,10.0,1.7320508075688772,4
6,0.0,23.9,11.7,1.449137674618944,4
6,3.96232255123179,13.9,11.7,1.378404875209022,2
6,2.932575659723036,15.6,9.4,1.5811388300841898,2
6,0.0,19.4,9.4,1.4142135623730951,0
6,0.7071067811865476,19.4,11.1,1.760681686165901,2
6,0.0,18.3,10.6,1.8439088914585775,2
6,0.0,22.8,8.9,1.3416407864998738,4
6,0.0,22.2,11.7,1.5811388300841898,2
6,0.5477225575051661,21.7,15.0,1.378404875209022,2
6,1.7320508075688772,20.0,13.3,1.5491933384829668,2
7,0.0,20.0,12.2,1.51657508881031,2
7,1.4142135623730951,18.9,11.7,1.449137674618944,2
7,2.4083189157584592,18.3,10.6,2.449489742783178,2
7,0.0,20.6,9.4,1.9493588689617927,4
7,0.0,24.4,10.6,1.760681686165901,0
7,0.0,25.0,11.1,1.449137674618944,4
7,0.0,26.7,12.8,1.9493588689617927,4
7,0.0,28.3,14.4,1.6733200530681511,2
7,1.224744871391589,25.0,12.8,1.4142135623730951,2
7,0.0,23.9,11.1,1.51657508881031,0
7,0.0,27.8,13.3,1.70293863659264,1
7,0.0,25.6,13.3,1.6431676725154984,0
7,0.7071067811865476,23.3,13.9,1.4832396974191326,2
7,0.0,25.0,15.0,1.4832396974191326,2
7,0.0,18.9,13.3,1.9493588689617927,2
7,0.5477225575051661,26.1,13.3,1.5811388300841898,2
7,0.0,21.7,15.0,1.61245154965971,4
7,0.0,21.1,14.4,1.70293863659264,4
7,0.0,25.0,14.4,1.4832396974191326,4
7,3.8987177379235853,19.4,13.9,2.0,2
7,0.0,23.9,13.9,1.51657508881031,4
7,1.0,20.6,12.2,1.9748417658131499,2
7,0.0,18.9,11.1,1.816590212458495,2
7,0.0,23.3,12.2,2.073644135332772,4
7,0.0,26.7,12.8,1.61245154965971,4
7,0.0,25.6,12.8,1.4832396974191326,0
7,0.0,18.9,13.9,1.6733200530681511,0
7,0.0,22.2,13.3,1.3038404810405297,0
7,0.0,22.8,15.0,1.4142135623730951,4
7,0.0,19.4,13.3,1.7320508075688772,4
7,0.0,22.8,13.9,1.6733200530681511,4
8,0.0,23.9,13.3,1.4832396974191326,0
8,0.0,23.3,12.2,1.5811388300841898,4
8,0.0,27.2,12.8,1.9748417658131499,4
8,0.0,33.9,16.7,1.9235384061671346,4
8,0.0,33.9,17.8,1.378404875209022,4
8,0.0,28.3,15.6,1.5811388300841898,2
8,0.0,21.1,15.0,1.61245154965971,0
8,0.0,22.2,15.0,1.760681686165901,4
8,0.0,24.4,14.4,1.9493588689617927,0
8,0.0,25.6,12.2,1.51657508881031,4
8,0.0,28.3,13.3,1.5811388300841898,4
8,0.0,30.6,15.0,1.7320508075688772,4
8,0.0,30.6,15.0,1.6733200530681511,4
8,0.0,28.9,13.9,1.6733200530681511,4
8,0.0,31.1,16.7,2.16794833886788,4
8,0.0,34.4,18.3,1.6733200530681511,4
8,0.0,32.8,16.1,1.3416407864998738,4
8,0.0,21.7,14.4,1.7320508075688772,0
8,0.0,23.3,15.0,1.6431676725154984,0
8,0.0,25.6,15.0,1.378404875209022,4
8,0.0,23.3,13.3,1.7320508075688772,2
8,0.0,22.2,13.3,1.51657508881031,4
8,0.0,21.1,13.9,1.9493588689617927,4
8,0.0,22.2,10.0,1.816590212458495,4
8,0.0,26.1,11.7,1.7888543819998317,4
8,0.0,21.1,12.2,1.8439088914585775,4
8,0.0,23.9,13.3,1.3416407864998738,4
